Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/27/23,Sunday,TIKTOK ,111,Social Media
8/27,Sunday,INSTAGRAM,42,Social Media
8/27/23,Sunday,MESSAGES,24,Other
8/28/23,Monday,TIKTOK ,163,Social Media
8/28/23,Monday,INSTAGRAM,28,Social Media
8/28/23,Monday,FACEBOOK,24,Social Media
8/29/23,Tuesday,TIKTOK ,111,Social Media
8/29/23,Tuesday,MUSI,15,Other
8/29/23,Tuesday,INSTAGRAM,32,Social Media
8/30/23,Wednesday,TIKTOK ,191,Social Media
8/30/23,Wednesday,CALCULATOR,56,Education
8/30/23,Wednesday,INSTAGRAM,27,Social Media
8/31/23,Thursday,TIKTOK ,54,Social Media
8/31/23,Thursday,INSTAGRAM,42,Social Media
8/31/23,Thursday,MUSI,9,Other
9/1,Friday,TIKTOK ,179,Social Media
9/1/23,Friday,INSTAGRAM,45,Social Media
9/1/23,Friday,MUSI,13,Other
9/2/23,Saturday,TIKTOK ,283,Social Media
9/2/23,Saturday,MESSAGES,39,Other
9/2/23,Saturday,INSTAGRAM,35,Social Media
